state_final,crop,year,month,time_period,price_sd,n_mandis,price_mean,state_adopt_period,log_price_sd
Andhra Pradesh,chana,2010,1,24121,138.22746496264782,5,2090.678,24226.0,4.928900625037665
Andhra Pradesh,chana,2010,2,24122,118.57379487053628,5,2039.466,24226.0,4.775535508275659
Andhra Pradesh,chana,2010,3,24123,167.23994983256836,5,1947.048,24226.0,5.119429606515635
Andhra Pradesh,chana,2010,4,24124,123.90997437656097,5,1955.02,24226.0,4.819555288837653
Andhra Pradesh,chana,2010,5,24125,135.2513780706134,5,1930.9720000000002,24226.0,4.907135106736519
Andhra Pradesh,chana,2010,6,24126,135.13280423346507,5,1971.5440000000003,24226.0,4.906258029950894
Andhra Pradesh,chana,2010,7,24127,157.216917346703,5,2027.19,24226.0,5.05762649091415
Andhra Pradesh,chana,2010,8,24128,175.31484720353842,5,2045.2400000000002,24226.0,5.166583484310673
Andhra Pradesh,chana,2010,9,24129,316.96030233558685,6,2117.6283333333336,24226.0,5.758776536810168
Andhra Pradesh,chana,2010,10,24130,347.6701030670694,4,2044.225,24226.0,5.851254050465222
Andhra Pradesh,chana,2010,11,24131,68.64951007351245,3,2225.023333333333,24226.0,4.229013995604573
Andhra Pradesh,chana,2010,12,24132,161.3137254699675,4,2331.6225,24226.0,5.083351074319205
Andhra Pradesh,chana,2011,1,24133,110.0339396125881,6,2358.2933333333335,24226.0,4.700788860135762
Andhra Pradesh,chana,2011,2,24134,108.8686636273267,6,2353.2599999999998,24226.0,4.690142234878159
Andhra Pradesh,chana,2011,3,24135,134.34502339126678,6,2311.465,24226.0,4.900411292256085
Andhra Pradesh,chana,2011,4,24136,125.49296130328061,6,2348.5816666666665,24226.0,4.83224967176618
Andhra Pradesh,chana,2011,5,24137,112.46861191757763,6,2339.4466666666667,24226.0,4.7226741775382015
Andhra Pradesh,chana,2011,6,24138,93.69727461351263,6,2424.815,24226.0,4.540069102519469
Andhra Pradesh,chana,2011,7,24139,242.21749678749484,5,2445.5,24226.0,5.489836069581139
Andhra Pradesh,chana,2011,8,24140,328.80828984379343,6,2550.595,24226.0,5.795474875284493
Andhra Pradesh,chana,2011,9,24141,485.13355555970367,5,2985.474,24226.0,6.184424225317542
Andhra Pradesh,chana,2011,10,24142,418.91558928977537,5,3325.6400000000003,24226.0,6.037669442084539
Andhra Pradesh,chana,2011,11,24143,445.74938572027224,5,3425.828,24226.0,6.099756878661027
Andhra Pradesh,chana,2011,12,24144,385.62239667840856,5,3560.5979999999995,24226.0,5.954858643721879
Andhra Pradesh,chana,2012,1,24145,328.51972243179955,6,3404.4266666666667,24226.0,5.794596873966604
Andhra Pradesh,chana,2012,2,24146,281.9001664419515,6,3462.1200000000003,24226.0,5.641552988548951
Andhra Pradesh,chana,2012,3,24147,330.9396443260715,6,3615.013333333334,24226.0,5.8019360153247135
Andhra Pradesh,chana,2012,4,24148,319.92164274501135,6,3679.3216666666667,24226.0,5.7680760993872555
Andhra Pradesh,chana,2012,5,24149,342.1557362615256,6,3770.4816666666666,24226.0,5.835266002599269
Andhra Pradesh,chana,2012,6,24150,316.0469388714278,5,4009.0080000000003,24226.0,5.755890743288196
Andhra Pradesh,chana,2012,7,24151,460.1442845130209,5,4179.388,24226.0,6.1315401022863325
Andhra Pradesh,chana,2012,8,24152,264.6306355879204,4,4190.0575,24226.0,5.578335025734338
Andhra Pradesh,chana,2012,9,24153,526.0841806878439,5,3921.8979999999997,24226.0,6.265461239263284
Andhra Pradesh,chana,2012,10,24154,301.3302402542211,4,4163.8975,24226.0,5.708206807028313
Andhra Pradesh,chana,2012,11,24155,912.518663343386,5,4201.3099999999995,24226.0,6.81620853822654
Andhra Pradesh,chana,2012,12,24156,589.6766282180995,6,4056.0033333333336,24226.0,6.379574298878828
Andhra Pradesh,chana,2013,1,24157,220.4239315878987,6,3675.271666666667,24226.0,5.39555265390633
Andhra Pradesh,chana,2013,2,24158,175.7808780745695,6,3604.2983333333336,24226.0,5.169238208428207
Andhra Pradesh,chana,2013,3,24159,276.7217867823204,5,3523.2940000000003,24226.0,5.623012621612694
Andhra Pradesh,chana,2013,5,24161,,1,3840.0,24226.0,
Andhra Pradesh,chana,2013,6,24162,399.49927768395276,5,3370.112,24226.0,5.990211957154514
Andhra Pradesh,chana,2013,7,24163,452.3820662891049,5,3336.09,24226.0,6.114527102185463
Andhra Pradesh,chana,2013,8,24164,523.5336367417091,5,3458.85,24226.0,6.260601281812244
Andhra Pradesh,chana,2013,9,24165,685.6458076295662,5,3336.738,24226.0,6.5303611789803915
Andhra Pradesh,chana,2013,10,24166,388.1960047020919,4,3164.81,24226.0,5.961510378827471
Andhra Pradesh,chana,2013,11,24167,623.1683377373511,4,3303.1975,24226.0,6.434816687324523
Andhra Pradesh,chana,2013,12,24168,663.2821117744696,5,3441.31,24226.0,6.497200407638484
Andhra Pradesh,chana,2014,1,24169,486.78467902828095,6,3133.6983333333337,24226.0,6.187821887792047
Andhra Pradesh,chana,2014,2,24170,497.58534685016605,6,3066.9599999999996,24226.0,6.209767093342999
Andhra Pradesh,chana,2014,3,24171,599.699869595498,8,3324.8925,24226.0,6.396429312724879
Andhra Pradesh,chana,2014,4,24172,605.7933143982714,8,3268.13625,24226.0,6.406538862543913
Andhra Pradesh,chana,2014,5,24173,410.32326564377445,7,3080.9357142857143,24226.0,6.016945301822433
Andhra Pradesh,chana,2014,6,24174,410.70628218959587,5,2885.494,24226.0,6.017878317143543
Andhra Pradesh,chana,2014,7,24175,625.5303411026518,6,3253.7900000000004,24226.0,6.438599835689217
Andhra Pradesh,chana,2014,8,24176,842.802069290293,5,3082.16,24226.0,6.736732137183656
Andhra Pradesh,chana,2014,9,24177,854.105876750652,4,3081.765,24226.0,6.75005516356378
Andhra Pradesh,chana,2014,10,24178,895.042066653853,5,3235.3059999999996,24226.0,6.796870719018184
Andhra Pradesh,chana,2014,11,24179,762.5379056807604,3,2843.2700000000004,24226.0,6.636652219614159
Andhra Pradesh,chana,2014,12,24180,54.35490134293328,3,3184.48,24226.0,3.9955347906038754
Andhra Pradesh,chana,2015,1,24181,91.05091273567767,6,3177.955,24226.0,4.5114188306777665
Andhra Pradesh,chana,2015,2,24182,241.13862513085712,5,3573.8540000000003,24226.0,5.485371976133793
Andhra Pradesh,chana,2015,3,24183,394.2417065921192,6,3611.851666666667,24226.0,5.976964189710968
Andhra Pradesh,chana,2015,4,24184,150.74229875298246,3,3415.0766666666664,24226.0,5.015571748086645
Andhra Pradesh,chana,2015,5,24185,497.4398588774323,3,3718.39,24226.0,6.209474662612736
Andhra Pradesh,chana,2015,6,24186,394.1065046828499,3,3539.306666666667,24226.0,5.976621189222958
Andhra Pradesh,chana,2015,7,24187,385.38802316626294,3,3680.72,24226.0,5.954250679125468
Andhra Pradesh,chana,2015,8,24188,551.4291114307739,3,3911.2666666666664,24226.0,6.31251329268169
Andhra Pradesh,chana,2015,9,24189,778.4467843404581,2,3878.125,24226.0,6.657300632277974
Andhra Pradesh,chana,2015,10,24190,664.5816069026688,3,4060.4166666666665,24226.0,6.499157680097661
Andhra Pradesh,chana,2015,11,24191,788.4232681117421,4,4403.685,24226.0,6.670035087922391
Andhra Pradesh,chana,2015,12,24192,1636.0044144398469,4,3266.89,24226.0,7.400012215471917
Andhra Pradesh,chana,2016,1,24193,536.1613905625803,5,4370.0160000000005,24226.0,6.284435217544613
Andhra Pradesh,chana,2016,2,24194,461.731095368289,5,4201.416,24226.0,6.1349826769706075
Andhra Pradesh,chana,2016,3,24195,468.06463541908386,5,4190.494000000001,24226.0,6.148606396251194
Andhra Pradesh,chana,2016,4,24196,693.065140709491,4,4464.43,24226.0,6.541123992910149
Andhra Pradesh,chana,2016,5,24197,929.6981936090871,3,4474.04,24226.0,6.834860010477335
Andhra Pradesh,chana,2016,6,24198,282.2532600786045,4,5449.4125,24226.0,5.642804753285846
Andhra Pradesh,chana,2016,7,24199,170.41273426595797,2,7343.29,24226.0,5.138223343210682
Andhra Pradesh,chana,2016,8,24200,2428.1339759164853,2,7161.62,24226.0,7.794878330194321
Andhra Pradesh,chana,2016,9,24201,3781.0060250216475,2,6224.575,24226.0,8.237745397389173
Andhra Pradesh,chana,2016,10,24202,1318.5137306073077,2,8116.0599999999995,24226.0,7.184260419548226
Andhra Pradesh,chana,2016,11,24203,1699.7786359552817,2,8201.925,24226.0,7.438253307421758
Andhra Pradesh,chana,2016,12,24204,910.8832644334844,4,8043.9725,24226.0,6.814414749020218
Andhra Pradesh,chana,2017,1,24205,1502.3561096269202,3,7519.443333333334,24226.0,7.3147898945201675
Andhra Pradesh,chana,2017,2,24206,1807.9866845840802,3,6781.913333333333,24226.0,7.499969176203807
Andhra Pradesh,chana,2017,3,24207,1815.8368484438977,4,6176.765,24226.0,7.504301713960025
Andhra Pradesh,chana,2017,4,24208,1632.6361573515599,4,6460.1625,24226.0,7.397951261869624
Andhra Pradesh,chana,2017,5,24209,2112.316283995684,3,6389.323333333334,24226.0,7.655540389293664
Andhra Pradesh,chana,2017,6,24210,1738.8642605136454,4,6073.4575,24226.0,7.460987455248892
Andhra Pradesh,chana,2017,7,24211,2515.0727546633716,2,6900.885,24226.0,7.830057010411
Andhra Pradesh,chana,2017,8,24212,2574.137384095883,2,6792.71,24226.0,7.853269760506367
Andhra Pradesh,chana,2017,9,24213,1827.001288026366,2,5511.5650000000005,24226.0,7.510431261373032
Andhra Pradesh,chana,2017,10,24214,2033.0308552093682,3,4490.096666666667,24226.0,7.617282990694369
Andhra Pradesh,chana,2017,11,24215,2155.148331971607,2,5261.08,24226.0,7.675614831710416
Andhra Pradesh,chana,2017,12,24216,,1,3775.91,24226.0,
Andhra Pradesh,chana,2018,1,24217,66.00134695595246,2,3788.86,24226.0,4.1896751502416985
Andhra Pradesh,chana,2018,2,24218,21.887097416819035,3,3705.1966666666667,24226.0,3.0858973041507056
Andhra Pradesh,chana,2018,3,24219,122.54867624744067,2,3446.285,24226.0,4.808508308181312
Andhra Pradesh,chana,2018,7,24223,,1,3777.47,24226.0,
Andhra Pradesh,chana,2018,8,24224,,1,3383.67,24226.0,
Andhra Pradesh,chana,2018,9,24225,796.778729405682,3,3429.193333333333,24226.0,6.6805770108910805
Andhra Pradesh,chana,2018,10,24226,184.49123027938217,2,3791.425,24226.0,5.2176019299898115
Andhra Pradesh,chana,2018,11,24227,537.1742400128036,3,4512.673333333333,24226.0,6.286322511177672
Andhra Pradesh,chana,2018,12,24228,750.6504167720151,2,4269.21,24226.0,6.620940053072994
Andhra Pradesh,chana,2019,1,24229,528.0711660688675,3,4758.876666666667,24226.0,6.269231058845024
Andhra Pradesh,chana,2019,2,24230,637.7990207737859,3,4625.95,24226.0,6.4580232192561615
Andhra Pradesh,chana,2019,3,24231,734.1111891600619,2,4334.235,24226.0,6.598660501011287
Andhra Pradesh,chana,2019,4,24232,228.40311738970018,3,4455.236666666667,24226.0,5.431112126505262
Andhra Pradesh,chana,2019,5,24233,474.97776705862725,2,4449.33,24226.0,6.163267996746834
Andhra Pradesh,chana,2019,6,24234,428.3157905681271,2,4424.915,24226.0,6.059860751950419
Andhra Pradesh,chana,2019,7,24235,451.777593567897,2,4395.545,24226.0,6.113190009107541
Andhra Pradesh,chana,2019,8,24236,595.306128013143,2,4295.1849999999995,24226.0,6.389075774097867
