market_name,state_id,state_name,mandi_id,meta_mandi_id,district,state_clean,adopt_period
Ambikapur APMC,7,Chhattisgarh,78,78.0,Sarguja,Chhattisgarh,24279.0
Bhatapara APMC,7,Chhattisgarh,60,60.0,Baloda Bazaar,Chhattisgarh,24226.0
Jagdalpur APMC,7,Chhattisgarh,61,61.0,Bastar,Chhattisgarh,24226.0
Katghora APMC,7,Chhattisgarh,71,71.0,Korba,Chhattisgarh,24279.0
Kawardha APMC,7,Chhattisgarh,69,,,,
Munguli APMC,7,Chhattisgarh,73,73.0,Mungeli,Chhattisgarh,24226.0
Rajnandgaon APMC,7,Chhattisgarh,77,77.0,Rajnandgaon,Chhattisgarh,24226.0
Bemetara APMC,7,Chhattisgarh,62,62.0,Bemetara,Chhattisgarh,24279.0
Durg APMC,7,Chhattisgarh,66,66.0,Durg,Chhattisgarh,24226.0
Raipur APMC,7,Chhattisgarh,76,76.0,Raipur,Chhattisgarh,24226.0
Bilaspur APMC,7,Chhattisgarh,63,63.0,Bilaspur,Chhattisgarh,24227.0
Kurud APMC,7,Chhattisgarh,65,65.0,Dhamtari,Chhattisgarh,24226.0
Amreli APMC,11,Gujarat,93,93.0,Amreli,Gujarat,24226.0
Bhanvad APMC,11,Gujarat,148,148.0,Jamnagar,Gujarat,24279.0
Bhiloda APMC,11,Gujarat,105,105.0,Aravalli,Gujarat,24226.0
Botad APMC,11,Gujarat,128,128.0,Botad,Gujarat,24226.0
Chotila APMC,11,Gujarat,211,211.0,Surendranagar,Gujarat,24244.0
Dahod APMC,11,Gujarat,132,132.0,Dahod,Gujarat,24226.0
Deesa APMC,11,Gujarat,109,109.0,Banaskantha,Gujarat,24226.0
Dehgam APMC,11,Gujarat,140,140.0,Gandhinagar,Gujarat,24226.0
Devgadhbaria APMC,11,Gujarat,133,,,,
Dhanera APMC,11,Gujarat,111,111.0,Banaskantha,Gujarat,24238.0
Dhoraji APMC,11,Gujarat,193,193.0,Rajkot,Gujarat,24235.0
Dhrol APMC,11,Gujarat,149,149.0,Jamnagar,Gujarat,24226.0
Gondal APMC,11,Gujarat,194,194.0,Rajkot,Gujarat,24226.0
Jamnagar APMC,11,Gujarat,151,151.0,Jamnagar,Gujarat,24233.0
Kalol APMC,11,Gujarat,142,142.0,Gandhinagar,Gujarat,24235.0
Kapadvanj APMC,11,Gujarat,158,158.0,Kheda,Gujarat,24226.0
Lakhani APMC,11,Gujarat,112,,,,
Mandvi APMC,11,Gujarat,166,166.0,Kutch,Gujarat,24244.0
Mandvi APMC,11,Gujarat,166,166.0,Kutch,Gujarat,24279.0
Matar APMC,11,Gujarat,161,161.0,Kheda,Gujarat,24244.0
Mehsana APMC,11,Gujarat,171,171.0,Mehsana,Gujarat,24226.0
Nizar APMC,11,Gujarat,216,216.0,Tapi,Gujarat,24226.0
Palanpur APMC,11,Gujarat,113,113.0,Banaskantha,Gujarat,24229.0
Palitana APMC,11,Gujarat,123,123.0,Bhavnagar,Gujarat,24244.0
Patan APMC,11,Gujarat,189,189.0,Patan,Gujarat,24226.0
Porbandar APMC,11,Gujarat,192,192.0,Porbandar,Gujarat,24226.0
Rajkot APMC,11,Gujarat,198,198.0,Rajkot,Gujarat,24226.0
Rajula APMC,11,Gujarat,97,97.0,Amreli,Gujarat,24226.0
S.Mandvi APMC,11,Gujarat,166,166.0,Kutch,Gujarat,24244.0
S.Mandvi APMC,11,Gujarat,166,166.0,Kutch,Gujarat,24279.0
Savarkundla APMC,11,Gujarat,98,98.0,Amreli,Gujarat,24228.0
Siddhpur APMC,11,Gujarat,191,191.0,Patan,Gujarat,24226.0
Songadh APMC,11,Gujarat,217,217.0,Tapi,Gujarat,24245.0
Talod APMC,11,Gujarat,204,204.0,Sabarkantha,Gujarat,24226.0
Tarapur APMC,11,Gujarat,103,103.0,Anand,Gujarat,24226.0
Thara APMC,11,Gujarat,115,115.0,Banaskantha,Gujarat,24226.0
Vankaner APMC,11,Gujarat,178,178.0,Morbi,Gujarat,24244.0
Vijapur APMC,11,Gujarat,174,174.0,Mehsana,Gujarat,24226.0
Visnagar APMC,11,Gujarat,175,175.0,Mehsana,Gujarat,24226.0
Vyra APMC,11,Gujarat,220,220.0,Tapi,Gujarat,24235.0
Anand APMC,11,Gujarat,99,99.0,Anand,Gujarat,24261.0
Bagasara APMC,11,Gujarat,95,95.0,Amreli,Gujarat,24266.0
Bhesan APMC,11,Gujarat,154,154.0,Junagadh,Gujarat,24226.0
Godhra APMC,11,Gujarat,187,187.0,Panchamahal,Gujarat,24226.0
Himatnagar APMC,11,Gujarat,201,201.0,Sabarkantha,Gujarat,24226.0
Junagadh APMC,11,Gujarat,155,155.0,Junagadh,Gujarat,24226.0
Kadi APMC,11,Gujarat,170,170.0,Mehsana,Gujarat,24244.0
Kalawad APMC,11,Gujarat,152,152.0,Jamnagar,Gujarat,24267.0
Mansa APMC,11,Gujarat,143,,,,
Modasa APMC,11,Gujarat,107,107.0,Aravalli,Gujarat,24226.0
Panthawada APMC,11,Gujarat,114,114.0,Banaskantha,Gujarat,24226.0
Sanad APMC,11,Gujarat,91,91.0,Ahmedabad,Gujarat,24233.0
Thasara APMC,11,Gujarat,163,163.0,Kheda,Gujarat,24244.0
Vadodara APMC,11,Gujarat,226,226.0,Vadodara,Gujarat,24227.0
Visavadar APMC,11,Gujarat,157,157.0,Junagadh,Gujarat,24226.0
Bhavnagar APMC,11,Gujarat,120,120.0,Bhavnagar,Gujarat,24226.0
Borsad APMC,11,Gujarat,100,100.0,Anand,Gujarat,24227.0
Mandal APMC,11,Gujarat,90,,,,
Morbi APMC,11,Gujarat,177,177.0,Morbi,Gujarat,24229.0
Upleta APMC,11,Gujarat,199,199.0,Rajkot,Gujarat,24235.0
Kathlal APMC,11,Gujarat,159,159.0,Kheda,Gujarat,24244.0
Tharad APMC,11,Gujarat,116,116.0,Banaskantha,Gujarat,24226.0
Khambha APMC,11,Gujarat,101,101.0,Anand,Gujarat,24226.0
Vadali APMC,11,Gujarat,205,205.0,Sabarkantha,Gujarat,24244.0
Ballabhgarh APMC,12,Haryana,243,243.0,Faridabad,Haryana,24270.0
Barara APMC,12,Haryana,232,232.0,Ambala,Haryana,24270.0
Bhattu Kalan APMC,12,Haryana,247,247.0,Fatehabad,Haryana,24245.0
Dhand APMC,12,Haryana,275,275.0,Kaithal,Haryana,24226.0
