mandi_id,mandi_name,district,state,year_joined_enam,month_joined_enam,adoption_year_confidence,enam_phase
1,Andaman Hi Tech Kisan Mandi,South Andaman,Andaman & Nicobar Islands,2022,,low,3
2,Anakapalli,Anakapalle,Andhra Pradesh,2016,4,high,1
3,Ananthapuramu,Ananthapuramu,Andhra Pradesh,2016,4,high,1
4,Kalyandurg,Ananthapuramu,Andhra Pradesh,2016,4,high,1
5,Rayadurg,Ananthapuramu,Andhra Pradesh,2016,4,high,1
6,Gurramkonda,Annamayya,Andhra Pradesh,2016,4,high,1
7,Kalikiri,Annamayya,Andhra Pradesh,2016,4,high,1
8,Madanapalle,Annamayya,Andhra Pradesh,2016,4,high,1
9,Parchur,Bapatla,Andhra Pradesh,2016,4,high,1
10,VEMURU BHATTIPROLU,Bapatla,Andhra Pradesh,2016,4,high,1
11,Palamaner,Chittoor,Andhra Pradesh,2016,4,high,1
12,Punganur,Chittoor,Andhra Pradesh,2016,4,high,1
13,Ravulapalem,Dr BR Ambedkar Konaseema ,Andhra Pradesh,2016,4,high,1
14,Denduluru,Eluru,Andhra Pradesh,2016,4,high,1
15,Eluru,Eluru,Andhra Pradesh,2016,4,high,1
16,Duggirala,Guntur,Andhra Pradesh,2016,4,high,1
17,Guntur,Guntur,Andhra Pradesh,2016,4,high,1
18,Tadikonda,Guntur,Andhra Pradesh,2016,4,high,1
19,Tenali,Guntur,Andhra Pradesh,2016,4,high,1
20,Adoni,Kurnool,Andhra Pradesh,2016,4,high,1
21,Kurnool,Kurnool,Andhra Pradesh,2016,4,high,1
22,Pattikonda,Kurnool,Andhra Pradesh,2016,4,high,1
23,Yemmiganur,Kurnool,Andhra Pradesh,2016,4,high,1
24,Jaggayyapet,NTR,Andhra Pradesh,2016,4,high,1
25,Chilakaluripet,Palnadu,Andhra Pradesh,2016,4,high,1
26,Piduguralla,Palnadu,Andhra Pradesh,2016,4,high,1
27,Sattenapalle,Palnadu,Andhra Pradesh,2016,4,high,1
28,Rapur,SPSR Nellore,Andhra Pradesh,2016,4,high,1
29,Hindupur,Sri Satyasai ,Andhra Pradesh,2016,4,high,1
30,Ichapuram,Srikakulam,Andhra Pradesh,2016,4,high,1
31,Bobbili,Vizianagaram,Andhra Pradesh,2016,4,high,1
32,Vizianagaram,Vizianagaram,Andhra Pradesh,2016,4,high,1
33,Gopalapuram,West Godavari,Andhra Pradesh,2016,4,high,1
34,Kadapa,YSR Kadapa,Andhra Pradesh,2016,4,high,1
35,Kharupetia APMC,Darrang,Assam,2022,,low,3
36,Gauripur APMC,Dhubri,Assam,2022,,low,3
37,Dhing APMC,Nagaon,Assam,2022,,low,3
38,Forbesganj,Araria,Bihar,2022,,low,3
39,Daudnagar,Aurangabad,Bihar,2022,,low,3
40,Begusarai,Begusarai,Bihar,2022,,low,3
41,Ara,Bhojpur,Bihar,2022,,low,3
42,Buxar,Buxar,Bihar,2022,,low,3
43,Darbhanga,Darbhanga,Bihar,2022,,low,3
44,Motihari,East Champaran,Bihar,2022,,low,3
45,Gaya,Gaya,Bihar,2022,,low,3
46,Mohaniya,Kaimur,Bihar,2022,,low,3
47,Katihar,Katihar,Bihar,2022,,low,3
48,Singheswar,Madhepura,Bihar,2022,,low,3
49,Muzaffarpur,Muzaffarpur,Bihar,2022,,low,3
50,Biharsharif,Nalanda,Bihar,2022,,low,3
51,Musallahpur,Patna,Bihar,2022,,low,3
52,Gulabbagh,Purnia,Bihar,2022,,low,3
53,Sasaram,Rohtas,Bihar,2022,,low,3
54,Samastipur,Samastipur,Bihar,2022,,low,3
55,Chhapra,Saran,Bihar,2022,,low,3
56,Sitamarhi,Sitamarhi,Bihar,2022,,low,3
57,Hajipur,Vaishali,Bihar,2022,,low,3
58,Chandigarh Grain Market,Chandigarh,Chandigarh,2020,5,high,2
59,Balod,Balod,Chhattisgarh,2016,,medium,1
