State,Mandis,First Adoption Year,Adoption Phases,High Confidence (%)
Andhra Pradesh,33,2016,1,100.0
Chhattisgarh,20,2016,1,0.0
Gujarat,144,2016,1,100.0
Haryana,108,2016,1,100.0
Himachal Pradesh,38,2016,1,100.0
Jharkhand,19,2016,1,0.0
Madhya Pradesh,139,2016,1,100.0
Rajasthan,145,2016,1,100.0
Telangana,57,2016,1,100.0
Uttar Pradesh,125,2016,1,100.0
Maharashtra,133,2017,1,0.0
Odisha,66,2017,1,0.0
Tamil Nadu,157,2017,1,100.0
Uttarakhand,20,2017,1,0.0
Chandigarh,1,2020,1,100.0
Jammu & Kashmir,16,2020,1,100.0
Karnataka,5,2020,1,100.0
Kerala,6,2020,1,100.0
Puducherry,2,2020,1,0.0
Punjab,79,2020,1,100.0
West Bengal,18,2020,1,100.0
Andaman & Nicobar Islands,1,2022,1,0.0
Assam,3,2022,1,0.0
Bihar,20,2022,1,0.0
Goa,7,2022,1,0.0
Nagaland,19,2022,1,0.0
Tripura,7,2022,1,0.0
TOTAL,1388,2016–2022,4,77.2
