Crop,Mandis,States,Date Range,Monthly Obs,Exact (%),Matched (%)
Wheat,1889,23,2010–2025,153273,44.9,53.2
Onion,1904,31,2010–2025,142433,37.7,44.9
Potato,1783,32,2010–2025,142023,35.2,42.4
Tomato,1850,30,2010–2025,131264,35.8,43.5
Paddy,2005,28,2010–2025,112377,28.9,36.0
Maize,1681,28,2010–2025,92627,41.2,48.2
Chana,1378,23,2010–2025,91331,47.2,55.0
Mustard,1134,26,2010–2025,81365,53.3,62.0
Soybean,887,20,2010–2025,68239,46.3,53.0
Rice,964,27,2010–2025,63025,30.4,37.3
Cotton,911,18,2010–2025,40830,46.4,54.7
TOTAL / AVG,3583,33,—,1118787,40.7,48.2
