Crop,Mean (Rs/q),SD (Rs/q),IQR (Rs/q),Date Range,Mandis,States,Monthly Obs
Wheat,1822,490,620,2010–2025,780,18,81485
Onion,1638,1022,1112,2010–2025,701,22,63915
Potato,1076,694,748,2010–2025,652,22,60288
Tomato,1735,1201,1286,2010–2025,660,22,57119
Mustard,4127,1337,1911,2010–2025,554,17,50463
Chana,4562,1417,1662,2010–2025,563,17,50223
Maize,1552,512,694,2010–2025,658,19,44622
Paddy,1681,600,678,2010–2025,717,21,40404
Soybean,3708,1168,1225,2010–2025,351,15,36197
Rice,2432,1137,738,2010–2025,299,20,23498
Cotton,5258,1610,1943,2010–2025,414,15,22324
TOTAL / AVG,2690,1017,1147,—,1130,23,530538
