state_id,state_name,mandi_id,mandi_name,first_enam_trade_date
37,ANDAMAN AND NICOBAR ISLANDS,5038,ANDAMAN HI TECH KISAN MANDI,2023-03-01
276,ANDHRA PRADESH,314,ANAKAPALLI,2019-07-01
276,ANDHRA PRADESH,316,ADONI,2018-10-01
276,ANDHRA PRADESH,289,ANANTHAPURAMU,2018-10-01
276,ANDHRA PRADESH,291,DENDULURU,2018-10-01
276,ANDHRA PRADESH,792,BOBBILI APMC,2020-04-01
276,ANDHRA PRADESH,793,CHILAKALURIPET APMC,2020-04-01
276,ANDHRA PRADESH,312,DUGGIRALA,2018-10-01
276,ANDHRA PRADESH,282,GOPALAPURAM,2018-10-01
276,ANDHRA PRADESH,311,ELURU,2019-06-01
276,ANDHRA PRADESH,293,GURRAMKONDA,2018-10-01
276,ANDHRA PRADESH,313,GUNTUR,2018-10-01
276,ANDHRA PRADESH,318,HINDUPUR,2018-10-01
276,ANDHRA PRADESH,794,ICHAPURAM APMC,2020-04-01
276,ANDHRA PRADESH,292,KALIKIRI,2018-10-01
276,ANDHRA PRADESH,795,JAGGAYYAPET APMC,2020-04-01
276,ANDHRA PRADESH,320,KADAPA,2018-10-01
276,ANDHRA PRADESH,319,Kalyandurg,2019-02-01
276,ANDHRA PRADESH,288,MADANAPALLE,2018-10-01
276,ANDHRA PRADESH,315,KURNOOL,2018-10-01
276,ANDHRA PRADESH,290,PALAMANER,2018-10-01
276,ANDHRA PRADESH,287,PATTIKONDA,2018-10-01
276,ANDHRA PRADESH,286,PUNGANUR,2018-10-01
276,ANDHRA PRADESH,796,PARCHUR APMC,2020-04-01
276,ANDHRA PRADESH,284,PIDUGURALLA,2018-10-01
276,ANDHRA PRADESH,285,RAPUR,2018-10-01
276,ANDHRA PRADESH,1200,RAVULAPALEM APMC,2020-04-01
276,ANDHRA PRADESH,798,RAYADURG APMC,2020-04-01
276,ANDHRA PRADESH,800,TADIKONDA APMC,2020-04-01
276,ANDHRA PRADESH,799,SATTENAPALLE APMC,2020-04-01
276,ANDHRA PRADESH,283,TENALI,2019-07-01
276,ANDHRA PRADESH,801,VIZIANAGARAM APMC,2020-04-01
276,ANDHRA PRADESH,317,YEMMIGANUR,2018-10-01
276,ANDHRA PRADESH,784,VEMURU BHATTIPROLU,2020-06-01
38,ASSAM,5039,DHING,2023-03-01
38,ASSAM,5041,KHARUPETIA,2023-03-01
38,ASSAM,5040,GAURIPUR,2023-03-01
33,BIHAR,4036,ARA,2022-07-01
33,BIHAR,4037,BEGUSARAI,2022-07-01
33,BIHAR,4039,BUXAR,2022-07-01
33,BIHAR,4052,CHHAPRA,2022-07-01
33,BIHAR,4038,BIHARSHARIF,2022-07-01
33,BIHAR,4040,DARBHANGA,2022-07-01
33,BIHAR,4041,DAUDNAGAR,2022-07-01
33,BIHAR,4042,FORBESGANJ,2022-07-01
33,BIHAR,4043,GAYA,2022-07-01
33,BIHAR,4044,GULABBAGH,2022-07-01
33,BIHAR,4045,HAJIPUR,2022-07-01
33,BIHAR,4046,KATIHAR,2022-07-01
33,BIHAR,4047,MOHANIYA,2022-07-01
33,BIHAR,4048,MOTIHARI,2022-07-01
33,BIHAR,4049,MUSALLAHPUR,2022-06-01
33,BIHAR,4050,MUZAFFARPUR,2022-06-01
33,BIHAR,4051,SAMASTIPUR,2022-07-01
33,BIHAR,4053,SASARAM,2022-07-01
33,BIHAR,4054,SINGHESWAR,2022-07-01
526,CHANDIGARH,525,CHANDIGARH SECTOR-26,2018-10-01
100,CHHATTISGARH,341,BALOD,2018-10-01
33,BIHAR,4055,SITAMARHI,2022-07-01
100,CHHATTISGARH,105,BHATAPARA,2018-10-01
100,CHHATTISGARH,339,BILASPUR,2018-11-01
100,CHHATTISGARH,338,DHAMTARI,2018-10-01
100,CHHATTISGARH,336,DURG,2018-10-01
100,CHHATTISGARH,103,KAWARADHA,2018-10-01
100,CHHATTISGARH,340,JAGDALPUR,2018-10-01
100,CHHATTISGARH,104,KURUD,2018-10-01
100,CHHATTISGARH,343,MUNGELI,2018-10-01
100,CHHATTISGARH,344,PATELPALI RAIGARH,2018-12-01
100,CHHATTISGARH,101,NAVAPARA,2018-10-01
100,CHHATTISGARH,342,RAJIM,2018-10-01
100,CHHATTISGARH,337,RAIPUR,2018-10-01
100,CHHATTISGARH,102,RAJNANDGAON,2018-10-01
100,CHHATTISGARH,4978,KANKER,2023-03-01
100,CHHATTISGARH,4979,SARAIPALI,2023-03-01
100,CHHATTISGARH,4980,BEMETARA,2023-03-01
100,CHHATTISGARH,4981,KATGHORA,2023-03-01
100,CHHATTISGARH,4982,AMBIKAPUR,2023-03-01
100,CHHATTISGARH,4983,JASHPUR,2023-03-01
34,GOA,3907,CANACONA MARKET YARD,2022-06-01
34,GOA,3906,CURCHOREM MARKET YARD,2022-06-01
34,GOA,3904,MAPUSA MARKET YARD,2022-06-01
34,GOA,3903,MARGAO MAIN MARKET YARD,2022-06-01
34,GOA,3908,PONDA MARKET YARD,2022-06-01
34,GOA,3902,SANQUELIM MARKET YARD,2022-06-01
34,GOA,3901,VALPOI MARKET YARD,2022-06-01
22,GUJARAT,553,AMRELI,2018-10-01
22,GUJARAT,232,AHMEDABAD,2018-10-01
22,GUJARAT,541,ANAND,2021-09-01
22,GUJARAT,665,ANJAR,2018-11-01
22,GUJARAT,542,BABRA,2019-01-01
22,GUJARAT,650,BAGASARA,2022-02-01
22,GUJARAT,812,BARDOLI APMC,2020-04-01
22,GUJARAT,803,BAVLA APMC,2020-04-01
22,GUJARAT,834,BAYAD APMC,2020-05-01
22,GUJARAT,233,BHABHAR,2019-01-01
22,GUJARAT,543,BHAVNAGAR,2018-10-01
22,GUJARAT,234,BHESAN,2018-10-01
22,GUJARAT,656,BHARUCH,2019-08-01
22,GUJARAT,235,BHILODA,2018-10-01
22,GUJARAT,555,BODELI,2018-11-01
22,GUJARAT,554,BHUJ,2019-07-01
22,GUJARAT,652,BORSAD,2018-11-01
22,GUJARAT,236,BILIMORA,2022-02-01
22,GUJARAT,40,BOTAD,2018-10-01
22,GUJARAT,835,CHIKHLI APMC,2020-04-01
22,GUJARAT,825,CHOTILA APMC,2020-04-01
22,GUJARAT,237,DAHOD,2018-10-01
22,GUJARAT,828,DEDIYAPADA APMC,2020-04-01
22,GUJARAT,238,DEESA,2018-10-01
22,GUJARAT,815,DABHOI APMC,2020-04-01
22,GUJARAT,556,DEHGAM,2018-10-01
22,GUJARAT,830,DEVGADHBARIA APMC,2020-04-01
22,GUJARAT,239,DHANERA,2019-10-01
22,GUJARAT,802,DHANDHUKA APMC,2020-04-01
22,GUJARAT,651,DHARI,2019-11-01
22,GUJARAT,240,DHOALKA,2021-10-01
22,GUJARAT,544,DHORAJI,2019-07-01
22,GUJARAT,241,DHROL,2018-10-01
22,GUJARAT,658,GADHADA,2018-10-01
22,GUJARAT,831,FATEHPURA APMC,2020-04-01
22,GUJARAT,808,GANDHINAGAR APMC,2020-05-01
22,GUJARAT,806,GARIYADHAR APMC,2020-05-01
22,GUJARAT,242,GODHRA,2018-10-01
22,GUJARAT,243,HALVAD,2018-10-01
22,GUJARAT,669,GONDAL,2018-10-01
22,GUJARAT,24,HIMMATNAGAR,2018-10-01
22,GUJARAT,836,IDAR APMC,2020-05-01
22,GUJARAT,245,JAMKHAMBHALIYA,2019-08-01
