crop,mandis_w_data,mandis_modal,ever_treated,pct_treated,fill_rate,earliest,latest,obs_positive
wheat,98,774,76,77.6,60.2,2010-01,2026-12,11320
paddy,225,716,203,90.2,94.8,2010-01,2026-12,40956
rice,32,301,22,68.8,299.9,2010-01,2026-12,18424
maize,134,657,120,89.6,80.9,2010-01,2026-12,20823
onion,153,701,131,85.6,148.5,2010-01,2026-12,43631
tomato,154,658,132,85.7,132.1,2010-01,2026-12,39057
potato,144,652,122,84.7,165.4,2010-01,2026-12,45733
mustard,39,552,32,82.1,56.5,2010-01,2026-12,4232
soybean,32,347,25,78.1,34.3,2010-01,2026-12,2109
cotton,94,410,87,92.6,22.6,2010-01,2026-12,4013
chana,34,555,30,88.2,50.2,2010-01,2026-12,3275
