district,n_mandis_price,n_treated,flag_lt4
Erode,12,14,False
Villupuram,12,12,False
Sri Ganganagar,11,15,False
Salem,10,10,False
Tiruppur,9,9,False
Nashik,9,11,False
Coimbatore,8,9,False
Karnal,8,9,False
Hanumangarh,8,8,False
Banaskantha,8,9,False
Buldhana,7,7,False
Tiruvannamalai,7,8,False
Jaipur,7,9,False
Ahmednagar,7,7,False
Ahmedabad,7,5,False
Mehsana,6,6,False
Hisar,6,7,False
Thanjavur,6,6,False
Bikaner,6,7,False
Dharmapuri,6,6,False
Patiala,6,6,False
Vellore,6,6,False
Amrawati,6,7,False
Amreli,6,6,False
Rajkot,6,8,False
Bhiwani,6,6,False
Jamnagar,6,6,False
Tonk,6,6,False
Jind,6,7,False
Sangrur,6,7,False
Sirsa,6,6,False
Yamuna Nagar,6,6,False
Dindigul,6,7,False
Dausa,5,6,False
Cuddalore,5,7,False
Gurdaspur,5,6,False
Sabarkantha,5,5,False
Fatehabad,5,5,False
Ferozpur,5,5,False
Tapi,5,6,False
Mansa,5,5,False
Nagaur,5,5,False
Chittorgarh,5,5,False
Jhunjhunu,5,5,False
Jodhpur,5,6,False
Kancheepuram,5,6,False
Sivagangai,5,5,False
Kurukshetra,5,5,False
Washim,5,6,False
Ajmer,5,6,False
Bharatpur,5,6,False
Beed,5,5,False
Nagapattinam,4,5,False
Kheda,4,5,False
Bhavnagar,4,8,False
Ambala,4,5,False
Mohindergarh,4,4,False
Aravalli,4,4,False
Gir Somnath,4,4,False
Madurai,4,5,False
Kutch,4,4,False
Aurangabad,4,5,False
Khargone,4,8,False
Nalgonda,4,4,False
Harda,4,4,False
Karimnagar,4,4,False
Kaithal,4,4,False
Junagadh,4,4,False
Baran,4,4,False
Jhalawar,4,5,False
Indore,4,4,False
Alwar,4,4,False
Jalore,4,4,False
Vadodara,4,6,False
Ramanathapuram,4,6,False
Theni,4,4,False
Dhar,4,7,False
Panipat,4,5,False
Rewa,4,4,False
Bundi,4,4,False
Osmanabad,4,4,False
Pali,4,4,False
Dahod,4,6,False
Chhatarpur,4,5,False
Churu,4,5,False
Palwal,3,3,True
Patan,3,3,True
Raisen,3,5,True
Jhajjar,3,3,True
Jhabua,3,3,True
Rangareddy (Rajendranagar),3,3,True
Narmada,3,4,True
Seoni,3,3,True
Ratlam,3,3,True
Ludhiana,3,4,True
Mahbubnagar,3,4,True
Rohtak,3,3,True
Mewat (Nuh),3,4,True
Navsari,3,4,True
Anand,3,4,True
Akola,3,3,True
Narsinghpur,3,4,True
Jalandhar,3,4,True
Nagarkurnool,3,3,True
Sikar,3,5,True
Rajgarh,3,4,True
Tiruchirapalli,3,5,True
Gandhinagar,3,4,True
Sri Muktsar Sahib,3,3,True
Gurugram,3,4,True
Dhule,3,3,True
Bhilwara,3,5,True
Ujjain,3,3,True
Fazilka,3,3,True
Bharuch,3,3,True
Bathinda,3,3,True
Hoshangabad,3,5,True
Udaipur,3,3,True
Sonipat,3,4,True
Jabalpur,3,4,True
Jagtial,3,3,True
Surat,3,5,True
Virudhunagar,3,4,True
Chandrapur,3,3,True
Tarn Taran Sahib,2,3,True
Nainital,2,2,True
Tenkasi,2,4,True
Morbi,2,3,True
Jalgaon,2,2,True
Sangli,2,2,True
Mandsaur,2,3,True
Faridkot,2,3,True
Faridabad,2,4,True
Nagpur,2,2,True
Barwani,2,3,True
Alirajpur,2,2,True
Tiruvarur,2,2,True
Raipur,2,2,True
Pune,2,3,True
Pudukkottai,2,3,True
Pratapgarh,2,2,True
Perambalur,2,2,True
Parbhani,2,2,True
Botad,2,2,True
Narayanpet,2,2,True
Dewas,2,2,True
Dhamtari,2,2,True
Rewari,2,2,True
Surendranagar,2,4,True
Thiruvarur,2,2,True
East Singhbhum,2,2,True
Mahisagar,2,2,True
Udham Singh Nagar,2,3,True
Mahabubabad,2,2,True
Shaheed Bhagat Singh Nagar,2,2,True
Jalna,2,2,True
Barmer,2,2,True
Hingoli,2,2,True
Kalaburagi,2,2,True
Kallakurichi,2,2,True
Kamareddy,2,2,True
Balaghat,2,2,True
Chhindwara,2,4,True
Vidisha,2,3,True
Shivpuri,2,4,True
Khammam,2,2,True
Shajapur,2,2,True
Kapurthala,2,3,True
Sawai Madhopur,2,2,True
Guna,2,3,True
Gondiya,2,2,True
Latur,2,2,True
Kota,2,4,True
Bhandara,2,2,True
Shahdol,2,2,True
Ramban,1,1,True
Satna,1,1,True
Udhampur,1,1,True
Ramgarh,1,1,True
Tumkur,1,1,True
Samastipur,1,1,True
Sirohi,1,1,True
Saran,1,1,True
Rajsamand,1,1,True
Vizianagaram,1,1,True
Solapur,1,1,True
Sitamarhi,1,1,True
Rajnandgaon,1,1,True
Sarguja,1,1,True
Wardha,1,1,True
Sirmaur,1,3,True
Ranipet,1,1,True
Sheopur,1,1,True
Srikakulam,1,1,True
Shimla,1,8,True
Sanga Reddy,1,1,True
Sahebganj,1,1,True
Vaishali,1,1,True
S.A.S Nagar,1,1,True
Shopian,1,1,True
Sidhi,1,1,True
Tikamgarh,1,1,True
Satara,1,2,True
Rupnagar,1,1,True
Rohtas,1,1,True
Tirunelveli,1,3,True
Simdega,1,1,True
Umaria,1,1,True
West Singhbhum,1,1,True
Adilabad,1,2,True
Purnia,1,1,True
Porbandar,1,1,True
Dhanbad,1,1,True
Dholpur,1,1,True
Dumka,1,1,True
Dungarpur,1,1,True
Durg,1,1,True
East Champaran,1,1,True
Fatehgarh Sahib,1,2,True
Gadchiroli,1,1,True
Gariyaband,1,1,True
Gaya,1,1,True
Giridih,1,1,True
Gumla,1,1,True
Gwalior,1,2,True
Haridwar,1,2,True
Hazaribagh,1,1,True
Hoshiarpur,1,1,True
Hyderabad,1,2,True
Devbhoomi Dwarka,1,1,True
Deoghar,1,1,True
Davanagere,1,1,True
Bemetara,1,0,True
Anuppur,1,1,True
Ashok Nagar,1,2,True
Balod,1,1,True
Baloda Bazaar,1,1,True
Banswara,1,1,True
Bastar,1,1,True
Begusarai,1,1,True
Betul,1,1,True
Datia,1,1,True
Bhind,1,1,True
Bhopal,1,2,True
Bilaspur,1,2,True
Bina,1,1,True
Burhanpur,1,1,True
Chhota Udaipur,1,2,True
Damoh,1,1,True
Jaisalmer,1,1,True
Jangaon,1,1,True
Jogulamba Gadwal,1,1,True
Nizamabad,1,1,True
Muzaffarpur,1,1,True
NTR,1,1,True
Nalanda,1,1,True
Namakkal,1,2,True
Nanded,1,1,True
Neemuch,1,1,True
Nirmal,1,1,True
Pakur,1,1,True
Mumbai,1,1,True
Palamu,1,1,True
Palawal,1,1,True
Palnadu,1,1,True
Panchamahal,1,1,True
Pathankot,1,1,True
Pauri Garhwal,1,1,True
Peddapalli,1,1,True
Mungeli,1,1,True
Morena,1,1,True
Kabirdham,1,1,True
Koderma,1,1,True
Kangra,1,6,True
Kanker,1,1,True
Kanyakumari,1,1,True
Karauli,1,1,True
Kathua,1,1,True
Katni,1,1,True
Khandwa,1,2,True
Kolhapur,1,1,True
Moga,1,1,True
Korba,1,1,True
Kulgam,1,1,True
Kurnool,1,1,True
Agar Malwa,1,1,True
Lohardaga,1,1,True
Mandi,1,4,True
Mandla,1,1,True
Yawatmal,1,1,True
