Crop,Type,ATT,SE,CI low,CI high,N obs
Chana,Storable,-0.1952,(0.2396),-0.6656,0.2752,945
Maize,Storable,+0.0370,(0.0697),-0.0996,0.1735,"4,399"
Tomato,Perishable,+0.0845***,(0.0226),0.0403,0.1287,"10,727"
Potato,Perishable,+0.1045***,(0.0234),0.0587,0.1503,"11,610"
Cotton,Storable,+0.1137,(0.0745),-0.0324,0.2599,"2,969"
Onion,Perishable,+0.1332***,(0.0215),0.0911,0.1752,"11,175"
Paddy,Storable,+0.3091***,(0.0549),0.2014,0.4168,"11,065"
Wheat,Storable,+0.3709***,(0.1276),0.1207,0.6212,"2,572"
Rice,Storable,+0.6961***,(0.1046),0.4908,0.9014,919
Soybean,Storable,+0.8319***,(0.1503),0.5369,1.1268,993
Mustard,Storable,+1.0209*,(0.5793),-0.1177,2.1594,659
