Crop,ATT,SE,CI low,CI high,N obs
Chana,+0.0350,(0.1490),-0.2572,0.3272,"2,020"
Cotton,+0.0590,(0.2210),-0.3746,0.4926,"1,194"
Tomato,+0.1434,(0.1311),-0.1137,0.4005,"2,049"
Mustard,+0.1967**,(0.0955),0.0094,0.3839,"2,435"
Potato,+0.3112**,(0.1519),0.0132,0.6092,"2,195"
Onion,+0.3641**,(0.1845),0.0022,0.7260,"2,410"
Rice,+1.8468***,(0.3941),1.0247,2.6688,99
Wheat,-0.0804,(0.0707),-0.2190,0.0582,"4,570"
Paddy,-0.1962,(0.1793),-0.5482,0.1559,987
Soybean,-0.2063*,(0.1096),-0.4213,0.0086,"1,821"
Maize,-0.5321***,(0.2024),-0.9293,-0.1349,"1,358"
